risk,K,n,rep,seed,gamma,alpha,epsilon,low,high,profile,uniform_success,uniform_eta,uniform_regret1,uniform_regret2,uniform_rho1,uniform_rho2,uniform_time_s
cvar,250,10,96,3501219,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0015739833046595209,0.0015739833046595209,0.001485498177491995,0.4893934850818279,0.4863416406488722,0.006458166986703873
cvar,250,10,97,3501220,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0028564635138164096,0.0023144891885455987,0.0028564635138164096,0.4897039558061228,0.4889072359848077,0.006573916412889957
cvar,250,10,98,3501221,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0013798895778598386,0.0013798895778598386,0.001103901139201835,0.4880881357827197,0.489327321805035,0.006772208027541637
cvar,250,10,99,3501222,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0028661219160088236,0.0028661219160088236,0.000988482020496284,0.4877486410642512,0.48547495101158655,0.00643320893868804
cvar,250,20,0,3502123,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0032134238789103264,0.001647539190732461,0.0032134238789103264,0.4933444338125314,0.49283835857835806,0.008719166275113821
cvar,250,20,1,3502124,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0022841990558707392,0.0022841990558707392,0.0016618490652844375,0.4937590387665427,0.49553765768440217,0.008608457632362843
cvar,250,20,2,3502125,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002306303183700009,0.0017843827482206809,0.002306303183700009,0.4956088049651286,0.4940649049703422,0.008825249969959259
cvar,250,20,3,3502126,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0012232493219042628,0.0008191252551547068,0.0012232493219042628,0.49413841305361417,0.4937258858897638,0.00949562480673194
cvar,250,20,4,3502127,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002063514388066734,0.002063514388066734,0.001243199793840799,0.4948146296464544,0.4954059391026935,0.009418665897101164
cvar,250,20,5,3502128,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0030285150904613145,0.0016624724683470538,0.0030285150904613145,0.49416358983941644,0.49389925437495097,0.008380166720598936
cvar,250,20,6,3502129,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0015527253889148218,0.0015527253889148218,0.0015202228010214869,0.4934161727715659,0.4953967708603437,0.009225334040820599
cvar,250,20,7,3502130,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0016894435058043555,0.0015537678314177517,0.0016894435058043555,0.4942606395026256,0.49378266104263857,0.009385708253830671
cvar,250,20,8,3502131,0.5,0.5,0.01,0.0,1.0,uniform,True,0.00206628730269115,0.00206628730269115,0.0011722042934736998,0.4943508885107448,0.49293233182092155,0.009044041857123375
cvar,250,20,9,3502132,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0023186099438092245,0.001978293265725628,0.0023186099438092245,0.4940875140766563,0.4944323407117576,0.009113624691963196
cvar,250,20,10,3502133,0.5,0.5,0.01,0.0,1.0,uniform,True,0.001168752091201597,0.0011488588807064826,0.001168752091201597,0.4951767356432907,0.49517682660517215,0.009898209013044834
cvar,250,20,11,3502134,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0018253097225305326,0.0018253097225305326,0.00112883587063356,0.4938204413682005,0.49573029222636594,0.009249416645616293
cvar,250,20,12,3502135,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0027384932000765194,0.0027384932000765194,0.001642376151977043,0.4931245269961865,0.49584612952852203,0.008620415814220905
cvar,250,20,13,3502136,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0020116821531161455,0.0013725731985405054,0.0020116821531161455,0.49605918939950844,0.49634723376246476,0.008749125059694052
cvar,250,20,14,3502137,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0021639120614519447,0.0021639120614519447,0.0013276517318716596,0.49542779086841504,0.49420581121354745,0.009340833872556686
cvar,250,20,15,3502138,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0022144817221841917,0.0022144817221841917,0.0007542786894544351,0.49364407247009445,0.49396649999995823,0.009642750024795532
