,sample,gamma,x,y,in_sample_payoff1,in_sample_payoff2,oos_mean1,oos_std1,oos_min1,oos_mean2,oos_std2,oos_min2
674,61,0.30000000000000004,[0. 1.],[0. 1.],0.8000000019596886,0.8000000019596886,0.7635000018702777,0.4249326427619339,0.0,0.7635000018702777,0.4249326427619339,0.0
675,61,0.4,[0. 1.],[0. 1.],0.8000000020358968,0.8000000020358968,0.763500001943009,0.4249326428024132,0.0,0.763500001943009,0.4249326428024132,0.0
676,61,0.5,[0. 1.],[0. 1.],0.8000000021360066,0.8000000021360066,0.7635000020385513,0.424932642855588,0.0,0.7635000020385513,0.424932642855588,0.0
677,61,0.6000000000000001,[0. 1.],[0. 1.],0.8000000022592881,0.8000000022592881,0.7635000021562082,0.42493264292107097,0.0,0.7635000021562082,0.42493264292107097,0.0
678,61,0.7000000000000001,[0. 1.],[0. 1.],0.8000000024049537,0.8000000024049537,0.763500002295228,0.42493264299844363,0.0,0.763500002295228,0.42493264299844363,0.0
679,61,0.8,[0. 1.],[0. 1.],0.8000000025721382,0.8000000025721382,0.7635000024547842,0.4249326430872463,0.0,0.7635000024547842,0.4249326430872463,0.0
680,61,0.9,[0. 1.],[0. 1.],0.800000002759877,0.800000002759877,0.7635000026339578,0.42493264318696683,0.0,0.7635000026339578,0.42493264318696683,0.0
681,61,1.0,[0. 1.],[0. 1.],0.8000000029670897,0.8000000029670897,0.7635000028317165,0.424932643297031,0.0,0.7635000028317165,0.424932643297031,0.0
682,62,0.0,[0. 1.],[0. 1.],1.0000000097113808,1.0000000097113808,0.763500007414639,0.4249326458476971,0.0,0.763500007414639,0.4249326458476971,0.0
683,62,0.1,[0. 1.],[0. 1.],1.0000000097788122,1.0000000097788122,0.7635000074661232,0.424932645876351,0.0,0.7635000074661232,0.424932645876351,0.0
684,62,0.2,[0. 1.],[0. 1.],1.0000000000686502,1.0000000000686502,0.7635000000524146,0.42493264175018614,0.0,0.7635000000524146,0.42493264175018614,0.0
685,62,0.30000000000000004,[0. 1.],[0. 1.],1.0000000106560878,1.0000000106560878,0.763500008135923,0.42493264624913396,0.0,0.763500008135923,0.42493264624913396,0.0
686,62,0.4,[0. 1.],[0. 1.],1.0000000048469742,1.0000000048469742,0.7635000037006648,0.42493264378065193,0.0,0.7635000037006648,0.42493264378065193,0.0
687,62,0.5,[0. 1.],[0. 1.],1.0000000000153384,1.0000000000153384,0.7635000000117111,0.42493264172753215,0.0,0.7635000000117111,0.42493264172753215,0.0
688,62,0.6000000000000001,[0. 1.],[0. 1.],1.0000000000266964,1.0000000000266964,0.763500000020383,0.42493264173235856,0.0,0.763500000020383,0.42493264173235856,0.0
